description,iteration,total_exec_time,shared_blks_read,local_blks_read,blk_read_time,rowcount,relpages,reltuples,cpu_cost_per_tuple_relative
PgSQL Test 2 100k SELECT WITHOUT PREDICATES,4,9.254406999999999,0,0,0,1,1082,100000,1250.02
PgSQL Test 3 100k INSERTION,4,20.19349,7,0,0,1,1082,100000,1274.82
PgSQL Test 1 100k SELECT WITH PREDICATES,5,41.858326,1082,0,15,1,1082,100000,1275.07
PgSQL Test 2 100k SELECT WITHOUT PREDICATES,5,8.702602,0,0,0,1,1082,100000,1250.02
PgSQL Test 3 100k INSERTION,5,22.224788999999998,7,0,0,1,1082,100000,1274.82
PgSQL Test 1 100k SELECT WITH PREDICATES,6,34.459411,1082,0,11,1,1082,100000,1275.07
PgSQL Test 2 100k SELECT WITHOUT PREDICATES,6,13.360227,0,0,0,1,1082,100000,1250.02
PgSQL Test 3 100k INSERTION,6,8.822211,7,0,0,1,1082,100000,1274.82
PgSQL Test 1 100k SELECT WITH PREDICATES,7,17.041508,1082,0,8,1,1082,100000,1275.07
PgSQL Test 2 100k SELECT WITHOUT PREDICATES,7,8.344596,0,0,0,1,1082,100000,1250.02
PgSQL Test 3 100k INSERTION,7,12.075037,7,0,0,1,1082,100000,1274.82
PgSQL Test 1 100k SELECT WITH PREDICATES,8,27.020779,1082,0,14,1,1082,100000,1275.07
PgSQL Test 1 100k SELECT WITH PREDICATES,1,34.801147,1082,0,15,1,1082,100000,1275.07
PgSQL Test 1 100k SELECT WITH PREDICATES,1,15.61731,1082,0,7,1,1082,100000,1275.07
PgSQL Test 1 100k SELECT WITH PREDICATES,1,33.434263,1082,0,7,1,1082,100000,1275.07
PgSQL Test 1 100k SELECT WITH PREDICATES,1,78.425855,1066,0,28,1,1082,100000,1275.07
PgSQL Test 2 100k SELECT WITHOUT PREDICATES,1,8.695217,0,0,0,1,1082,100000,1250.02
PgSQL Test 3 100k INSERTION,1,11.396172,3,0,0,1,1082,100000,1274.82
PgSQL Test 1 100k SELECT WITH PREDICATES,2,16.379894999999998,1070,0,7,1,1082,100000,1275.07
PgSQL Test 2 100k SELECT WITHOUT PREDICATES,2,8.188468,0,0,0,1,1082,100000,1250.02
PgSQL Test 3 100k INSERTION,2,12.247597,3,0,0,1,1082,100000,1274.82
PgSQL Test 1 100k SELECT WITH PREDICATES,3,18.663413,1082,0,8,1,1082,100000,1275.07
PgSQL Test 2 100k SELECT WITHOUT PREDICATES,3,7.8384990000000005,0,0,0,1,1082,100000,1250.02
PgSQL Test 3 100k INSERTION,3,14.222456,7,0,0,1,1082,100000,1274.82
PgSQL Test 1 100k SELECT WITH PREDICATES,4,50.457253,1082,0,23,1,1082,100000,1275.07
PgSQL Test 2 100k SELECT WITHOUT PREDICATES,4,8.14077,0,0,0,1,1082,100000,1250.02
PgSQL Test 3 100k INSERTION,4,10.702389,7,0,0,1,1082,100000,1274.82
