C PgSQL Test 3 1m INSERTION,8,0.25819200000000003,7,0,0,1,5406,1000000,-5405.5
C PgSQL Test 1 1m SELECT WITH PREDICATES,9,121.51229099999999,5406,0,155,1,5406,1000000,6312.07
C PgSQL Test 2 1m SELECT WITHOUT PREDICATES,9,127.851656,0,0,0,1,5406,1000000,6208.56
C PgSQL Test 3 1m INSERTION,9,0.338712,7,0,0,1,5406,1000000,-5405.5
C PgSQL Test 1 1m SELECT WITH PREDICATES,10,326.145453,5406,0,285,1,5406,1000000,6312.07
C PgSQL Test 2 1m SELECT WITHOUT PREDICATES,10,96.498791,0,0,0,1,5406,1000000,6208.56
C PgSQL Test 3 1m INSERTION,10,0.36254000000000003,7,0,0,1,5406,1000000,-5405.5
C PgSQL Test 1 10m SELECT WITH PREDICATES,1,2590.50261,54055,0,6001,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,1,1385.8975110000001,53959,0,1403,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,1,5.300169,7,0,5,1,54055,10000175,-54054.49
C PgSQL Test 1 10m SELECT WITH PREDICATES,2,1201.1206240000001,54055,0,275,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,2,986.3778090000001,53959,0,286,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,2,0.305282,7,0,0,1,54055,10000175,-54054.49
C PgSQL Test 1 10m SELECT WITH PREDICATES,3,876.674725,54055,0,203,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,3,869.714775,53959,0,225,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,3,0.33972199999999997,7,0,0,1,54055,10000175,-54054.49
C PgSQL Test 1 10m SELECT WITH PREDICATES,4,1194.8626390000002,54055,0,296,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,4,954.0497300000001,53959,0,306,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,4,0.321531,7,0,0,1,54055,10000175,-54054.49
C PgSQL Test 1 10m SELECT WITH PREDICATES,5,1487.642554,54055,0,533,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,5,1206.84366,53959,0,375,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,5,0.588981,7,0,0,1,54055,10000175,-54054.49
C PgSQL Test 1 10m SELECT WITH PREDICATES,6,1040.79372,54055,0,278,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,6,2053.252099,53959,0,719,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,6,0.35417800000000005,7,0,0,1,54055,10000175,-54054.49
C PgSQL Test 1 10m SELECT WITH PREDICATES,7,1384.797714,54055,0,443,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,7,1238.90893,53959,0,377,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,7,0.526582,7,0,0,1,54055,10000175,-54054.49
C PgSQL Test 1 10m SELECT WITH PREDICATES,8,1245.424106,54055,0,311,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,8,1159.045876,53959,0,317,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,8,0.31268799999999997,7,0,0,1,54055,10000175,-54054.49
C PgSQL Test 1 10m SELECT WITH PREDICATES,9,1007.913392,54055,0,244,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,9,960.132448,53959,0,234,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,9,0.317772,7,0,0,1,54055,10000175,-54054.49
C PgSQL Test 1 10m SELECT WITH PREDICATES,10,1154.145059,54055,0,314,1,54055,10000175,54099.76
C PgSQL Test 2 10m SELECT WITHOUT PREDICATES,10,1094.205179,53959,0,284,1,54055,10000175,53084.47
C PgSQL Test 3 10m INSERTION,10,0.352039,7,0,0,1,54055,10000175,-54054.49
